########## Scenario Component Metadata ##########
#Scenario component type: Market Share
#Type: HDV-EV
#Subset: trn_freight_road : Medium truck : BEV : million ton-km;trn_freight_road : Medium truck : FCEV : million ton-km;
#Superset: trn_freight_road : Medium truck : BEV : million ton-km;trn_freight_road : Medium truck : FCEV : million ton-km;trn_freight_road : Medium truck : Hybrid Liquids : million ton-km;trn_freight_road : Medium truck : Liquids : million ton-km;trn_freight_road : Medium truck : NG : million ton-km;
#Applied to: New Purchases
#Treatment: Across Selected
#Constraint: Lower
#Policy name: HDV-EV_New_Reg
#Market name: HDV-EV_New_Reg_Mkt24
#Regions: CA,CO,CT,DC,HI,MA,MD,ME,NC,NJ,NY,OR,PA,RI,VT,WA
#Table data:2025  ,  0.150
#Table data:2030  ,  0.320
#Table data:2035  ,  0.490
#Table data:2040  ,  0.660
#Table data:2045  ,  0.830
#Table data:2050  , 1.0
#################################################
INPUT_TABLE
Variable ID
GLIMPSEPFStdActivate

region,policy,market,type,year,constrained
WA,trn_freight_road,Medium truck,BEV,2025,HDV-EV_New_Reg24-2025,,7.429577464788733E-10,1.0e9
WA,trn_freight_road,Medium truck,FCEV,2025,HDV-EV_New_Reg24-2025,,7.429577464788733E-10,1.0e9
WA,trn_freight_road,Medium truck,BEV,2030,HDV-EV_New_Reg24-2030,,7.4822695035461E-10,1.0e9
WA,trn_freight_road,Medium truck,FCEV,2030,HDV-EV_New_Reg24-2030,,7.4822695035461E-10,1.0e9
WA,trn_freight_road,Medium truck,BEV,2035,HDV-EV_New_Reg24-2035,,7.429577464788733E-10,1.0e9
WA,trn_freight_road,Medium truck,FCEV,2035,HDV-EV_New_Reg24-2035,,7.429577464788733E-10,1.0e9
WA,trn_freight_road,Medium truck,BEV,2040,HDV-EV_New_Reg24-2040,,7.377622377622378E-10,1.0e9
WA,trn_freight_road,Medium truck,FCEV,2040,HDV-EV_New_Reg24-2040,,7.377622377622378E-10,1.0e9
WA,trn_freight_road,Medium truck,BEV,2045,HDV-EV_New_Reg24-2045,,7.377622377622378E-10,1.0e9
WA,trn_freight_road,Medium truck,FCEV,2045,HDV-EV_New_Reg24-2045,,7.377622377622378E-10,1.0e9
WA,trn_freight_road,Medium truck,BEV,2050,HDV-EV_New_Reg24-2050,,7.377622377622378E-10,1.0e9
WA,trn_freight_road,Medium truck,FCEV,2050,HDV-EV_New_Reg24-2050,,7.377622377622378E-10,1.0e9
